lat,lon,bearing,depth
51.513099,-0.140592,184.000000,6.000000
51.513099,-0.140592,264.000000,6.200000
51.513099,-0.140592,356.000000,10.000000
51.513180,-0.140658,168.000000,13.400000
51.513180,-0.140658,218.000000,10.200000
51.513180,-0.140658,51.000000,4.800000
51.513267,-0.140728,113.000000,4.800000
51.513267,-0.140728,124.000000,4.200000
51.513267,-0.140728,163.000000,18.400000
51.513267,-0.140728,182.000000,7.400000
51.513267,-0.140728,89.000000,3.400000
51.513352,-0.140798,131.000000,8.200000
51.513352,-0.140798,141.000000,11.400000
51.513352,-0.140798,168.000000,14.400000
51.513352,-0.140798,308.000000,9.000000
51.513391,-0.140836,137.000000,15.400000
51.513391,-0.140836,164.000000,21.000000
51.513391,-0.140836,305.000000,8.200000
51.513391,-0.140836,328.000000,21.400000
51.513470,-0.140917,159.000000,24.400000
51.513470,-0.140917,327.000000,17.200000
51.513561,-0.141003,158.000000,24.200000
51.513561,-0.141003,283.000000,3.600000
51.513561,-0.141003,326.000000,17.400000
51.513606,-0.141044,15.000000,7.400000
51.513606,-0.141044,272.000000,7.600000
51.513606,-0.141044,295.000000,8.600000
51.513606,-0.141044,324.000000,12.600000
51.513692,-0.141121,182.000000,8.000000
51.513692,-0.141121,236.000000,6.200000
51.513692,-0.141121,245.000000,12.000000
51.513692,-0.141121,275.000000,10.800000
51.513692,-0.141121,311.000000,8.600000
51.513692,-0.141121,357.000000,8.000000
51.513692,-0.141121,61.000000,6.400000
51.513704,-0.141211,102.000000,5.400000
51.513704,-0.141211,11.000000,8.800000
51.513704,-0.141211,170.000000,6.800000
51.513704,-0.141211,188.000000,3.200000
51.513704,-0.141211,306.000000,5.400000
51.513704,-0.141211,312.000000,3.000000
51.513704,-0.141211,324.000000,8.400000
51.513704,-0.141211,355.000000,10.000000
51.513704,-0.141211,3.000000,7.800000
51.513781,-0.141267,120.000000,5.200000
51.513781,-0.141267,171.000000,11.200000
51.513781,-0.141267,356.000000,10.000000
51.513781,-0.141267,80.000000,4.200000
51.513781,-0.141267,93.000000,7.200000
